JSLHISAR.NS,Jindal Stainless (Hisar) Limited,NSE
OCCL.NS,Oriental Carbon & Chemicals Limited,NSE
NH.NS,Narayana Hrudayalaya Ltd.,NSE
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,NSE
ALKEM.NS,Alkem Laboratories Limited,NSE
LINCOLN.NS,Lincoln Pharmaceuticals Limited,NSE
KRIDHANINF.NS,Kridhan Infra Limited,NSE
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,NSE
SALZERELEC.NS,Salzer Electronics Limited,NSE
TTKHLTCARE.NS,TTK Healthcare Limited,NSE
AIFL.NS,Ashapura Intimates Fashion Limited,NSE
UMANGDAIRY.NS,Umang Dairies Limited,NSE
LUXIND.NS,Lux Industries Limited,NSE
ANANDAMRUB.NS,The Anandam Rubber Company Limited,NSE
SHK.NS,S H Kelkar and Company Limited,NSE
INDIGO.NS,InterGlobe Aviation Limited,NSE
IDFCBANK.NS,IDFC Bank Limited,NSE
COFFEEDAY.NS,Coffee Day Enterprises Limited,NSE
PALREDTECH.NS,Palred Technologies Limited,NSE
PRABHAT.NS,Prabhat Dairy Limited,NSE
PNEUMATIC.NS,Pneumatic Holdings Limited,NSE
SADBHIN.NS,Sadbhav Infrastructure Project Limited,NSE
GUJGASLTD.NS,Gujarat Gas Limited,NSE
SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited,NSE
PENPEBS.NS,Pennar Engineered Building Systems Limited,NSE
NAVKARCORP.NS,Navkar Corporation Limited,NSE
SHARDAMOTR.NS,Sharda Motor Industries Limited,NSE
SATIN.NS,Satin Creditcare Network Limited,NSE
ARVINFRA.NS,Arvind Infrastructure Limited,NSE
POWERMECH.NS,Power Mech Projects Limited,NSE
MUTHOOTCAP.NS,Muthoot Capital Services Limited,NSE
ORTINLABSS.NS,Ortin Laboratories Limited,NSE
RAMASTEEL.NS,Rama Steel Tubes Limited,NSE
MAJESCO.NS,Majesco Limited,NSE
PKTEA.NS,The Peria Karamalai Tea & Produce Company Limited,NSE
KAYA.NS,Kaya Limited,NSE
WELSYNTEX.NS,Welspun Syntex Limited,NSE
SYNGENE.NS,Syngene International Limited,NSE
ADANITRANS.NS,Adani Transmission Limited,NSE
SHYAMCENT.NS,Shyam Century Ferrous Limited,NSE
NIRVIKARA.NS,Nirvikara Paper Mills Limited,NSE
ORICONENT.NS,Oricon Enterprises Limited,NSE
MANPASAND.NS,Manpasand Beverages Limited,NSE
ALANKIT.NS,Alankit Limited,NSE
SKIPPER.NS,Skipper Limited,NSE
PNCINFRA.NS,PNC Infratech Limited,NSE
ARROWCOAT.NS,Arrow Coated Products Limited,NSE
NILAINFRA.NS,Nila Infrastructures Limited,NSE
TPLPLASTEH.NS,TPL Plastech Limited,NSE
UFO.NS,UFO Moviez India Limited,NSE
ADI.NS,Adi Finechem Limited,NSE
LYCOS.NS,Lycos Internet Limited,NSE
MEP.NS,MEP Infrastructure Developers Limited,NSE
VRLLOG.NS,VRL Logistics Limited,NSE
VETO.NS,Veto Switchgears And Cables Limited,NSE
VIPULLTD.NS,Vipul Limited,NSE
AVANTIFEED.NS,Avanti Feeds Limited,NSE
BYKE.NS,The Byke Hospitality Ltd,NSE
LFIC.NS,Lakshmi Finance & Industrial Corporation Limited,NSE
INOXWIND.NS,Inox Wind Limited,NSE
ADLABS.NS,Adlabs Entertainment Limited,NSE
MANAKINDST.NS,Manaksia Industries Limited,NSE
MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited,NSE
MANAKALUCO.NS,Manaksia Aluminium Company Limited,NSE
ZENTEC.NS,Zen Technologies Limited,NSE
MANAKSTEEL.NS,Manaksia Steels Limited,NSE
ORTEL.NS,Ortel Communications Limited,NSE
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSE
HESTERBIO.NS,Hester Biosciences Limited,NSE
SIGNET.NS,Signet Industries Limited,NSE
LINCPEN.NS,Linc Pen & Plastics Limited,NSE
MENONBE.NS,Menon Bearings Limited,NSE
GANECOS.NS,Ganesha Ecosphere Limited,NSE
VISHNU.NS,Vishnu Chemicals Limited,NSE
GREENLAM.NS,Greenlam Industries Limited,NSE
MOLDTKPAC.NS,Mold-Tek Packaging Limited,NSE
GENUSPAPER.NS,Genus Paper & Boards Limited,NSE
GRPLTD.NS,GRP Limited,NSE
LAMBODHARA.NS,Lambodhara Textiles Limited,NSE
CCHHL.NS,Country Club Hospitality & Holidays Limited,NSE
SHAKTIPUMP.NS,Shakti Pumps (India) Limited,NSE
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,NSE
GULPOLY.NS,Gulshan Polyols Limited,NSE
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,NSE
CAMLINFINE.NS,Camlin Fine Sciences Limited,NSE
DTIL.NS,Dhunseri Tea & Industries Limited,NSE
FCL.NS,Fineotex Chemical Limited,NSE
BEARDSELL.NS,Beardsell Limited,NSE
GOODLUCK.NS,Good Luck Steel Tubes Limited,NSE
AMRUTANJAN.NS,Amrutanjan Health Care Limited,NSE
MONTECARLO.NS,Monte Carlo Fashions Limited,NSE
INTELLECT.NS,Intellect Design Arena Limited,NSE
MANAPPURAM.NS,Manappuram Finance Limited,NSE
PDSMFL.NS,PDS Multinational Fashions Limited,NSE
MINDACORP.NS,Minda Corporation Limited,NSE
CIGNITITEC.NS,Cigniti Technologies Limited,NSE
SHEMAROO.NS,Shemaroo Entertainment Limited,NSE
SUPERHOUSE.NS,Superhouse Limited,NSE
SHARDACROP.NS,Sharda Cropchem Limited,NSE
SNOWMAN.NS,Snowman Logistics Limited,NSE
GULFOILLUB.NS,Gulf Oil Lubricants India Limited,NSE
GOCLCORP.NS,GOCL Corporation Limited,NSE
CAPLIPOINT.NS,Caplin Point Laboratories Limited,NSE
HATSUN.NS,Hatsun Agro Product Limited,NSE
AGARIND.NS,Agarwal Industrial Corporation Limited,NSE
WONDERLA.NS,Wonderla Holidays Limited,NSE
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,NSE
ARCOTECH.NS,Arcotech Limited,NSE
SDBL.NS,Som Distilleries & Breweries Limited,NSE
CASTROLIND.NS,Castrol India Limited,NSE
8KMILES.NS,8K Miles Software Services Limited,NSE
NATHBIOGEN.NS,Nath Bio-Genes (India) Limited,NSE
AGRITECH.NS,Agri-Tech (India) Limited,NSE
CNOVAPETRO.NS,CIL Nova Petrochemicals Limited,NSE
SREEL.NS,Sreeleathers Limited,NSE
NGCT.NS,Northgate Com Tech Limited,NSE
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSE
ORBTEXP.NS,Orbit Exports Limited,NSE
LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited,NSE
SFCL.NS,Star Ferro and Cement Limited,NSE
PILITA.NS,PIL ITALICA LIFESTYLE LIMITED,NSE
FLFL.NS,Future Lifestyle Fashions Limited,NSE
SUJANATWR.NS,Sujana Tower Limited,NSE
INTEGRA.NS,Integra Garments and Textiles Limited,NSE
IBULHSGFIN.NS,Indiabulls Housing Finance Limited,NSE
PFRL.NS,Pantaloons Fashion & Retail Limited,NSE
ORIENTCEM.NS,Orient Cement Limited,NSE
DUNCANSLTD.NS,Duncans Industries Limited,NSE
FCEL.NS,Future Consumer Enterprise Limited,NSE
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,NSE
ATULAUTO.NS,Atul Auto Limited,NSE
JUSTDIAL.NS,Just Dial Limited,NSE
VIVIDHA.NS,Visagar Polytex Limited,NSE
VIMALOIL.NS,Vimal Oil & Foods Limited,NSE
GSCLCEMENT.NS,Gujarat Sidhee Cement Limited,NSE
NIBL.NS,NRB Industrial Bearings Limited,NSE
REPCOHOME.NS,Repco Home Finance Limited,NSE
MOHITIND.NS,Mohit Industries Limited,NSE
ANKITMETAL.NS,Ankit Metal & Power Limited,NSE
NAKODA.NS,Nakoda Limited,NSE
VMART.NS,V-Mart Retail Limited,NSE
INFRATEL.NS,Bharti Infratel Limited,NSE
PCJEWELLER.NS,PC Jeweller Limited,NSE
CARERATING.NS,Credit Analysis And Research Limited,NSE
TARAJEWELS.NS,Tara Jewels Limited,NSE
ZUARI.NS,Zuari Agro Chemicals Limited,NSE
BAFNAPHARM.NS,Bafna Pharmaceuticals Limited,NSE
SUNCLAYLTD.NS,Sundaram Clayton Limited,NSE
GREENFIRE.NS,Green Fire Agri Commodities Limited,NSE
DYNATECH.NS,Dynacons Technologies Limited,NSE
MAYURUNIQ.NS,Mayur Uniquoters Ltd,NSE
ROSSELLIND.NS,Rossell India Limited,NSE
KITEX.NS,Kitex Garments Limited,NSE
MORARJEE.NS,Morarjee Textiles Limited,NSE
PROZONINTU.NS,Prozone Intu Properties Limited,NSE
AMTL.NS,Advance Metering Technology Limited,NSE
RTNINFRA.NS,RattanIndia Infrastructure Limited,NSE
SEPOWER.NS,S.E. Power Limited,NSE
VKSPL.NS,VKS Projects Limited,NSE
RMMIL.NS,Resurgere Mines & Minerals Limited,NSE
CINELINE.NS,Cineline India Limited,NSE
EON.NS,Eon Electric Limited,NSE
SPECIALITY.NS,Speciality Restaurants Limited,NSE
SWANENERGY.NS,Swan Energy Limited,NSE
CHROMATIC.NS,Chromatic India Limited,NSE
VSSL.NS,Vardhman Special Steels Limited,NSE
TBZ.NS,Tribhovandas Bhimji Zaveri Limited,NSE
HEXATRADEX.NS,Hexa Tradex Limited,NSE
NBCC.NS,National Buildings Construction Corporation Limited,NSE
MTEDUCARE.NS,MT Educare Limited,NSE
MMTC.NS,MMTC Limited,NSE
NAGAROIL.NS,Nagarjuna Oil Refinery Limited,NSE
PROVOGE.NS,Provogue (India) Limited,NSE
NDL.NS,Nandan Denim Limited,NSE
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSE
ORIENTREF.NS,Orient Refractories Limited,NSE
MCX.NS,Multi Commodity Exchange of India Limited,NSE
COMPUSOFT.NS,Compucom Software Limited,NSE
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,NSE
JAIHINDPRO.NS,Jaihind Projects Limited,NSE
THOMASCOTT.NS,Thomas Scott (India) Limited,NSE
KANANIIND.NS,Kanani Industries Limited,NSE
APLAPOLLO.NS,APL Apollo Tubes Limited,NSE
RASOYPR.NS,Rasoya Proteins Limited,NSE
VIKASECO.NS,Vikas EcoTech Limited,NSE
SHARONBIO.NS,Sharon Bio-Medicine Limited,NSE
POLYMED.NS,Poly Medicure Limited,NSE
RUPA.NS,Rupa & Company Limited,NSE
DSSL.NS,Dynacons Systems & Solutions Limited,NSE
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSE
SEZAL.NS,Sezal Glass Limited,NSE
ESSARSHPNG.NS,Essar Shipping Limited,NSE
INDOTHAI.NS,Indo Thai Securities Limited,NSE
TRITURBINE.NS,Triveni Turbine Limited,NSE
UJAAS.NS,Ujaas Energy Limited,NSE
FLEXITUFF.NS,Flexituff International Limited,NSE
SEINV.NS,S.E. Investments Limited,NSE
ONELIFECAP.NS,Onelife Capital Advisors Limited,NSE
TIJARIA.NS,Tijaria Polypipes Limited,NSE
PRAKASHCON.NS,Prakash Constrowell Limited,NSE
PANAMAPET.NS,Panama Petrochem Limited,NSE
PGEL.NS,PG Electroplast Limited,NSE
VASWANI.NS,Vaswani Industries Limited,NSE
APLLTD.NS,Alembic Pharmaceuticals Limited,NSE
SRSLTD.NS,SRS Limited,NSE
TDPOWERSYS.NS,TD Power Systems Limited,NSE
TECHIN.NS,TECHINDIA NIRMAN LIMITED,NSE
CIMMCO.NS,Cimmco Limited,NSE
BROOKS.NS,Brooks Laboratories Limited,NSE
FILATEX.NS,Filatex India Limited,NSE
ASAHISONG.NS,Asahi Songwon Colors Limited,NSE
TREEHOUSE.NS,Tree House Education & Accessories Limited,NSE
WINSOME.NS,Winsome Yarns Limited,NSE
BODALCHEM.NS,Bodal Chemicals Limited,NSE
GAYAPROJ.NS,Gayatri Projects Limited,NSE
IBWSL.NS,Indiabulls Wholesale Services Limited,NSE
WINDMACHIN.NS,Windsor Machines Limited,NSE
L&TFH.NS,L&T Finance Holdings Limited,NSE
ELGIRUBCO.NS,Elgi Rubber Company Limited,NSE
INVENTURE.NS,Inventure Growth & Securities Limited,NSE
BGLOBAL.NS,Bharatiya Global Infomedia Limited,NSE
RUSHIL.NS,Rushil Decor Limited,NSE
MAITHANALL.NS,Maithan Alloys Limited,NSE
KWALITY.NS,kwality limited,NSE
ASHIANA.NS,Ashiana Housing Limited,NSE
DHANUKA.NS,Dhanuka Agritech Limited,NSE
KARMAENG.NS,Karma Energy Limited,NSE
WEIZFOREX.NS,Weizmann Forex Limited,NSE
VSTTILLERS.NS,V.S.T Tillers Tractors Limited,NSE
DQE.NS,DQ Entertainment (International) Limited,NSE
ESTER.NS,Ester Industries Limited,NSE
JVLAGRO.NS,JVL Agro Industries Limited,NSE
OMMETALS.NS,OM Metals Infraprojects Limited,NSE
RELAXO.NS,Relaxo Footwears Limited,NSE
PIIND.NS,PI Industries Limited,NSE
SYMPHONY.NS,Symphony Limited,NSE
VADILALIND.NS,Vadilal Industries Limited,NSE
SANGHVIFOR.NS,Sanghvi Forging and Engineering Limited,NSE
SERVALL.NS,Servalakshmi Paper Limited,NSE
PARAPRINT.NS,Paramount Printpackaging Limited,NSE
MUTHOOTFIN.NS,Muthoot Finance Limited,NSE
TCIDEVELOP.NS,TCI Developers Limited,NSE
SHILPI.NS,Shilpi Cable Technologies Limited,NSE
PFS.NS,PTC India Financial Services Limited,NSE
LOVABLE.NS,Lovable Lingerie Limited,NSE
DHUNINV.NS,Dhunseri Investments Limited,NSE
SUDAR.NS,Sudar Industries Limited,NSE
INDTERRAIN.NS,Indian Terrain Fashions Limited,NSE
ACROPETAL.NS,Acropetal Technologies Limited,NSE
HFCL.NS,Himachal Futuristic Communications Limited,NSE
TEXRAIL.NS,Texmaco Rail & Engineering Limited,NSE
